Sl.No,Date,vehicle_category,maker,electric_vehicles_sold
1,01-Apr-21,2-Wheelers,OLA ELECTRIC,0
2,01-Apr-22,2-Wheelers,OKAYA EV,0
3,01-May-21,2-Wheelers,OLA ELECTRIC,0
4,01-Jun-21,2-Wheelers,OLA ELECTRIC,0
5,01-Jul-21,2-Wheelers,OLA ELECTRIC,0
6,01-Aug-21,2-Wheelers,OLA ELECTRIC,0
7,01-Sep-21,2-Wheelers,OLA ELECTRIC,0
8,01-Oct-21,2-Wheelers,OLA ELECTRIC,0
9,01-Nov-21,2-Wheelers,OLA ELECTRIC,0
10,01-Apr-21,4-Wheelers,BYD India,0
11,01-Apr-21,4-Wheelers,PCA Automobiles,0
12,01-Apr-21,4-Wheelers,BMW India,0
13,01-Apr-21,4-Wheelers,Volvo Auto India,0
14,01-Apr-21,4-Wheelers,KIA Motors,0
15,01-Apr-22,4-Wheelers,PCA Automobiles,0
16,01-Apr-22,4-Wheelers,Volvo Auto India,0
17,01-Apr-22,4-Wheelers,KIA Motors,0
18,01-May-21,4-Wheelers,BYD India,0
19,01-May-21,4-Wheelers,PCA Automobiles,0
20,01-May-21,4-Wheelers,BMW India,0
21,01-May-21,4-Wheelers,Mercedes -Benz AG,0
22,01-May-21,4-Wheelers,Volvo Auto India,0
23,01-May-21,4-Wheelers,KIA Motors,0
24,01-May-22,4-Wheelers,PCA Automobiles,0
25,01-May-22,4-Wheelers,Volvo Auto India,0
26,01-May-22,4-Wheelers,KIA Motors,0
27,01-Jun-21,4-Wheelers,BYD India,0
28,01-Jun-21,4-Wheelers,PCA Automobiles,0
29,01-Jun-21,4-Wheelers,BMW India,0
30,01-Jun-21,4-Wheelers,Volvo Auto India,0
31,01-Jun-21,4-Wheelers,KIA Motors,0
32,01-Jun-22,4-Wheelers,PCA Automobiles,0
33,01-Jun-22,4-Wheelers,Volvo Auto India,0
34,01-Jun-22,4-Wheelers,KIA Motors,0
35,01-Jul-21,4-Wheelers,BYD India,0
36,01-Jul-21,4-Wheelers,PCA Automobiles,0
37,01-Jul-21,4-Wheelers,BMW India,0
38,01-Jul-21,4-Wheelers,Volvo Auto India,0
39,01-Jul-21,4-Wheelers,KIA Motors,0
40,01-Jul-22,4-Wheelers,PCA Automobiles,0
41,01-Jul-22,4-Wheelers,Volvo Auto India,0
42,01-Jul-22,4-Wheelers,KIA Motors,0
43,01-Aug-21,4-Wheelers,BYD India,0
44,01-Aug-21,4-Wheelers,PCA Automobiles,0
45,01-Aug-21,4-Wheelers,BMW India,0
46,01-Aug-21,4-Wheelers,Volvo Auto India,0
47,01-Aug-21,4-Wheelers,KIA Motors,0
48,01-Aug-22,4-Wheelers,PCA Automobiles,0
49,01-Aug-22,4-Wheelers,Volvo Auto India,0
50,01-Aug-22,4-Wheelers,KIA Motors,0
51,01-Sep-21,4-Wheelers,BYD India,0
52,01-Sep-21,4-Wheelers,PCA Automobiles,0
53,01-Sep-21,4-Wheelers,BMW India,0
54,01-Sep-21,4-Wheelers,Volvo Auto India,0
55,01-Sep-21,4-Wheelers,KIA Motors,0
56,01-Sep-22,4-Wheelers,PCA Automobiles,0
57,01-Sep-22,4-Wheelers,Volvo Auto India,0
58,01-Sep-22,4-Wheelers,KIA Motors,0
59,01-Oct-21,4-Wheelers,BYD India,0
60,01-Oct-21,4-Wheelers,PCA Automobiles,0
61,01-Oct-21,4-Wheelers,BMW India,0
62,01-Oct-21,4-Wheelers,Volvo Auto India,0
63,01-Oct-21,4-Wheelers,KIA Motors,0
64,01-Oct-22,4-Wheelers,PCA Automobiles,0
65,01-Oct-22,4-Wheelers,Volvo Auto India,0
66,01-Nov-21,4-Wheelers,BYD India,0
67,01-Nov-21,4-Wheelers,PCA Automobiles,0
68,01-Nov-21,4-Wheelers,BMW India,0
69,01-Nov-21,4-Wheelers,Volvo Auto India,0
70,01-Nov-21,4-Wheelers,KIA Motors,0
71,01-Nov-22,4-Wheelers,PCA Automobiles,0
72,01-Dec-21,4-Wheelers,PCA Automobiles,0
73,01-Dec-21,4-Wheelers,BMW India,0
74,01-Dec-21,4-Wheelers,Volvo Auto India,0
75,01-Dec-21,4-Wheelers,KIA Motors,0
76,01-Dec-22,4-Wheelers,PCA Automobiles,0
77,01-Jan-22,4-Wheelers,PCA Automobiles,0
78,01-Jan-22,4-Wheelers,BMW India,0
79,01-Jan-22,4-Wheelers,Volvo Auto India,0
80,01-Jan-22,4-Wheelers,KIA Motors,0
81,01-Jan-23,4-Wheelers,PCA Automobiles,0
82,01-Feb-22,4-Wheelers,PCA Automobiles,0
83,01-Feb-22,4-Wheelers,BMW India,0
